title,description,link,icon,form
"Education & Training","Our comprehensive training programs combine classroom education with real-world scenarios at mock jobsites. Learn best practices, understand utility marking standards, and master the 811 process.",training.html,ğŸ“,
"Utility Locate Rodeo","The Utility Locate Rodeo is an annual competition that showcases the locating profession and encourages best practices among utility locators. This event recognizes excellence and promotes safety.",utility-locate-rodeo.html,ğŸ†,
"Silver Shovel Awards","The Silver Shovel Awards recognize excavators and contractors who demonstrate strong safety ethics and consistent best practices in damage prevention. Celebrate excellence in our industry.",silver-shovel-award.html,â­,
"811 Day (August 11)","811 Day is an annual public awareness campaign held on August 11th (8/11) to promote the importance of calling 811 before digging. This nationwide initiative helps prevent utility damage.",811-day.html,ğŸ“…,
"Golf Tournament Fundraiser","The NRCGA Golf Tournament is an annual fundraising event that brings together members of Nevada's damage prevention community for a day of golf, networking, and fun.",golf-tournament.html,â›³,
"Craig Rogers Award","The Craig Rogers Award honors excellence in damage prevention in memory of our dear friend and colleague. This award celebrates leaders who demonstrate outstanding commitment to safety.",craig-rogers-award.html,ğŸ–ï¸,
"50 in 5","The NRCGA has accepted the Common Ground Alliance's 50 in 5 challenge to reduce damages to critical underground utilities by 50% in 5 years. This ambitious initiative drives our strategic planning.",50-in-5.html,ğŸ“Š,
Operations,"The Operations working group plays a critical role in ensuring the effective operation of Nevada's One Call Center system. This group brings together stakeholders to discuss operational improvements.",operations.html,âš™ï¸,
"Embedded Facilities Taskforce","The Embedded Facilities Taskforce is a technical working group focused on addressing the unique challenges associated with embedded facilities and infrastructure.",embedded-facilities-taskforce.html,â›,
"Budget Committee","The Budget Committee oversees NRCGA's financial planning, budget development, and fiscal responsibility to ensure the organization's long-term sustainability.",budget-committee.html,ğŸ’°,
"Technical Solutions Committee","The Technical Solutions Committee evaluates and develops innovative technologies and methods to improve damage prevention practices across Nevada.",technical-solutions-committee.html,ğŸ”§,

